2006	98.40 	45.0	2788.8	10	0.0	92	0	0
2006	151.60 	65.2	1476.4	2	0.0	60	4	0
2018	72.00 	45.0	1050.0	3	0.0	0	0	97
1999	113.00 	62.0	2956.0	6	0.0	167	0	0
1997	195.00 	67.0	3828.0	6	170.0	190	3.7	0
2014	108.30 	51.6	2358.9	0	0.0	0	4.3	0
2014	108.30 	52.8	2879.8	10	0.0	0	0	0
1981	127.00 	66.0	4650.0	0	147.0	143	0	55
1989	118.10 	55.9	3937.0	0	40.0	130	0	0
2012	100.00 	55.0	2900.0	2	90.0	120	0	0
2009	95.00 	50.1	2877.0	0	87.3	180	0	0
1999	170.00 	73.0	4882.0	0	210.0	135	4.1	65
2005	98.40 	49.7	1279.5	0	0.0	200	0	0
2005	45.20 	40.0	1960.0	0	31.2	64	0	0
2003	118.10 	55.9	3510.5	0	0.0	184320	0	70
1999	91.20 	49.7	3605.7	0	81.7	129600	0	0
2014	167.00 	68.0	4124.0	7	150.0	160	0	0
1993	78.00 	51.0	2352.0	0	0.0	112	0	0
2002	117.80 	55.0	2600.0	5	0.0	140	0	0
1992	100.00 	50.0	2700.0	5	0.0	120	0	0
1993	105.00 	50.0	2693.0	5	0.0	90	0	0
1994	105.00 	50.0	2700.0	5	0.0	120	4	0
1995	105.00 	50.0	2693.0	5	0.0	120	4	0
1999	105.00 	50.0	2700.0	5	0.0	120	4	0
2000	109.30 	49.7	2260.5	5	0.0	96	0	0
2002	105.00 	49.7	2700.2	5	0.0	75	4.9	0
2001	115.00 	50.0	3340.0	5	0.0	122	4.3	0
1979	110.00 	64.8	7359.0	0	141.0	250	0	45
2008	230.00 	77.0	5318.0	0	0.0	0	0	75
1997	203.00 	67.0	4777.0	2	144.0	160	0	0
1983	98.40 	39.2	2316.3	4	0.0	0	0	0
1994	213.00 	74.0	5497.0	0	205.0	180	3.5	65
1992	72.20 	40.4	4921.3	0	39.3	236	0	0
1979	104.00 	28.0	2671.0	0	0.0	180	0	0
1999	142.00 	61.0	3985.0	7	0.0	140	0	0
2006	85.30 	49.7	2519.7	4	88.6	0	4	0
2009	124.70 	62.1	3464.5	4	0.0	150	3.8	0
1992	122.00 	52.0	2742.0	5	0.0	80	0	0
1964	78.00 	40.0	2558.0	0	72.0	105	0	0
2007	96.00 	51.0	3236.0	0	92.0	0	0	56
2005	64.00 	37.3	1148.3	2	0.0	0	0	0
1988	116.50 	47.0	935.0	3	0.0	108	5.2	0
1988	116.50 	47.0	935.0	3	0.0	108	5.2	0
1996	116.50 	47.0	935.0	3	0.0	108	5.2	0
1998	116.50 	47.0	935.0	3	0.0	108	5.2	0
1999	116.50 	47.0	935.0	3	0.0	108	5.2	0
1999	116.50 	47.0	935.0	3	0.0	108	5.2	0
2000	116.50 	47.0	935.0	3	0.0	108	5.2	0
2000	116.50 	47.0	935.0	3	0.0	108	5.2	0
2013	116.50 	47.0	935.0	3	0.0	108	5.2	0
1998	116.50 	47.0	935.0	3	0.0	108	5.2	0
